"","x"
"1",8
"2",8
"3",8
"4",8
"5",7
"6",7
"7",8
"8",8
"9",5
"10",1
"11",1
"12",5
"13",5
"14",2
"15",2
"16",5
"17",2
"18",2
"19",5
"20",1
"21",1
"22",1
"23",7
"24",5
"25",5
"26",5
"27",2
"28",5
"29",4
"30",5
"31",2
"32",5
"33",2
"34",4
"35",5
"36",5
"37",5
"38",4
"39",5
"40",5
"41",4
"42",2
"43",2
"44",5
"45",1
"46",4
"47",2
"48",4
"49",3
"50",5
"51",3
"52",3
"53",5
"54",3
"55",5
"56",5
"57",3
"58",5
"59",3
"60",5
"61",3
"62",3
"63",5
"64",5
"65",5
"66",3
"67",9
"68",9
"69",4
"70",9
"71",5
"72",5
"73",6
"74",9
