"","x"
"1",12
"2",44
"3",30
"4",51
"5",12
"6",53
"7",32
"8",71
"9",51
"10",51
"11",15
"12",30
"13",24
"14",51
"15",51
"16",44
"17",3
"18",18
"19",24
"20",7
"21",16
"22",9
"23",15
"24",18
"25",12
"26",67
"27",10
"28",21
"29",46
"30",53
"31",24
"32",13
"33",57
"34",51
"35",53
"36",37
"37",24
"38",59
"39",14
"40",18
"41",46
"42",15
"43",9
"44",15
"45",1
"46",65
"47",60
"48",67
"49",69
"50",53
"51",68
"52",68
"53",57
"54",15
"55",2
"56",46
"57",6
"58",35
"59",12
"60",19
"61",15
"62",24
"63",50
"64",66
"65",50
